OrderID,NoOfRolls,NoOfSystems,MillType1ID,MillType2ID,MillType3ID,System1ID,System2ID,ClientInterfaceID,HMIID,SWReleaseID,MSSCommID,BendingSystem,CoolingSystem,FlatnessLogger,MSS,MST,TSS,MTG,RPM,StripSpeed,MaxTension,MinTension,MaxWrapAngle,MinWrapAngle,MaxStress,MinStress,MaxTW,MinTW,MaxStripTemp,MaxWidth,MinWidth,MaxThickness,MinThickness,MaxEqLoad,MinEqLoad,DoubleFoil,RollPositionID,TotalNoOfZones,NoOf52mmZones,NoOf26mmZones,BearingCentreDistance,LongJournalLength,LongJournals,HighTempCon,RaSTR,RaStrip,RollTypeID,RollDiameterID,BearingTypeID,BearingHouseID,BearingDiameterID,SealingTypeID,ShaftMaterialID,SignalTransUnitID,RollSurfaceID,RollRepairID,StripCooling,GearBox,Cooling_NumberOfZones,Cooling_MaxWorkrollDiameter,Cooling_MaxStripThickness,Cooling_MaxRPMOnWorkroll,Cooling_TotalCoolingAmount,Cooling_PressureRegulator,DriveSystemTypeID,DriveSystemID,Voltage,Power
3,1.0,1.0,2.0,4.0,1.0,4.0,2.0,1,,3.0,0.0,False,False,False,False,True,False,False,0.311636089469716,1240.0,0.0011040108354621644,0.002525000095367432,0.35000000000000003,0.019151846785225718,100.0,20.0,108.0,14.0,0.0,1610.0,600.0,3.0,0.1800000071525573,946.0,128.0,False,2.0,0.4,0.5818181818181818,0.0,0.46022727272727276,,False,False,,,1.0,3,,3.0,3.0,1.0,1.0,4.0,1.0,,,Yes,,,,,,,,1.0,0.0,0.0
4,1.0,1.0,2.0,1.0,1.0,7.0,2.0,1,,0.0,0.0,False,False,False,False,False,False,False,0.16587082181452625,660.0,0.0016315431679129844,0.00075,0.15555555555555556,0.004103967168262654,80.0,10.0,80.0,6.0,0.0,1700.0,730.0,2.0,0.1400000005960464,740.0,12.0,False,2.0,0.675,0.2545454545454545,0.6060606060606061,0.46022727272727276,,False,False,,,2.0,3,2.0,2.0,3.0,3.0,1.0,7.0,1.0,,,No,,,,,,,,,,
6,1.0,1.0,8.0,1.0,2.0,1.0,1.0,3,,10.0,,False,False,False,False,False,False,False,0.1533048504649409,250.0,0.00734194425560843,0.0,0.03888888888888889,0.0047879616963064295,0.0,0.0,0.0,0.0,0.0,1750.0,760.0,8.0,0.4600000083446502,0.0,0.0,False,9.0,0.42500000000000004,0.6181818181818182,0.0,0.46022727272727276,,False,False,,,1.0,3,7.0,1.0,2.0,,1.0,,1.0,,,No,,,,,,,,1.0,0.0,0.0
7,1.0,1.0,2.0,5.0,1.0,2.0,2.0,3,,0.0,0.0,False,False,False,False,False,False,False,0.351847197788389,1400.0,0.0006798096532970768,0.00125,0.06666666666666667,0.008207934336525308,80.0,10.0,45.0,15.0,0.0,1320.0,600.0,3.700000047683716,0.1500000059604644,410.0,136.0,False,2.0,0.3375,0.4909090909090909,0.0,0.46022727272727276,,False,False,,,1.0,3,,3.0,3.0,,1.0,1.0,1.0,,,No,,,,,,,,1.0,0.0,0.0
8,1.0,1.0,2.0,7.0,1.0,2.0,1.0,3,,0.0,0.0,False,False,False,False,False,False,False,0.37697914048755965,1500.0,0.0016587355540448674,0.002450000047683716,0.06777777671813966,0.00834473311167246,0.0,0.0,100.0,2.0,0.0,1880.0,550.0,3.299999952316284,0.3000000119209289,1092.0,15.0,False,2.0,0.47500000000000003,0.6909090909090909,0.0,0.7380681818181818,568.0,True,False,,,1.0,3,,3.0,3.0,,1.0,1.0,1.0,,,No,,,,,,,,1.0,0.0,0.0
9,1.0,1.0,2.0,7.0,1.0,2.0,1.0,3,,0.0,0.0,False,False,False,False,False,False,False,0.2764513696908771,1100.0,0.0012236573759347384,0.0025,0.061111111111111116,0.003419972640218878,154.0,0.0,0.0,0.0,0.0,1320.0,610.0,3.200000047683716,0.2000000029802322,0.0,0.0,False,2.0,0.3375,0.4909090909090909,0.0,0.46022727272727276,,False,False,,,1.0,3,,,,,,,1.0,,,No,,,,,,,,,,
12,1.0,1.0,2.0,7.0,1.0,2.0,1.0,3,,0.0,0.0,False,False,False,False,False,False,False,0.18094998743402863,720.0,0.0016043507817811013,0.001225000023841858,0.04500000211927626,0.0055403559380777885,80.0,10.0,140.0,10.0,0.0,1600.0,700.0,3.0,0.5,900.0,41.0,False,2.0,0.4,0.5818181818181818,0.0,0.46022727272727276,,False,False,,,1.0,3,,3.0,3.0,,1.0,6.0,1.0,,,No,,,,,,,,1.0,0.0,0.0
15,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3,,0.0,0.0,False,False,False,False,False,False,False,0.2890173410404624,1150.0,0.0016315431679129844,0.003,0.20833333333333334,0.009233926128590971,35.0,20.0,80.0,12.0,0.0,1650.0,770.0,5.0,0.25,874.0,131.0,False,2.0,0.41250000000000003,0.6,0.0,0.46022727272727276,,False,False,,,1.0,3,,1.0,3.0,,1.0,1.0,1.0,,,No,,,,,,,,1.0,0.0,0.0
19,1.0,1.0,2.0,5.0,0.0,2.0,2.0,0,,0.0,0.0,False,False,False,False,False,False,False,0.47046996732847446,1840.0,0.0008002719321597765,0.0017167500257492065,0.2555555555555556,0.012311901504787962,0.0,0.0,100.0,3.0,0.0,1067.0,610.0,0.5080000162124634,0.1270000040531158,916.0,26.0,False,2.0,0.275,0.39999999999999997,0.0,0.46022727272727276,,False,False,,,1.0,3,,3.0,3.0,1.0,1.0,1.0,1.0,,,No,,,,,,,,,,
20,1.0,1.0,2.0,4.0,3.0,2.0,2.0,3,,0.0,0.0,False,True,False,False,False,False,False,0.3015833123900477,1200.0,0.0016315431679129844,0.003,0.11111111111111112,0.013679890560875513,60.0,30.0,200.0,40.0,0.0,1525.0,600.0,3.5,0.25,2184.0,436.0,False,2.0,0.3875,0.5636363636363636,0.0,0.46022727272727276,,False,False,,,1.0,3,2.0,3.0,3.0,1.0,1.0,7.0,1.0,,,No,,,,,,,,1.0,0.0,0.0
