OrderID,NoOfRolls,NoOfSystems,MillType1ID,MillType2ID,MillType3ID,System1ID,System2ID,ClientInterfaceID,HMIID,SWReleaseID,MSSCommID,BendingSystem,CoolingSystem,FlatnessLogger,MSS,MST,TSS,MTG,RPM,StripSpeed,MaxTension,MinTension,MaxWrapAngle,MinWrapAngle,MaxStress,MinStress,MaxTW,MinTW,MaxStripTemp,MaxWidth,MinWidth,MaxThickness,MinThickness,MaxEqLoad,MinEqLoad,DoubleFoil,RollPositionID,TotalNoOfZones,NoOf52mmZones,NoOf26mmZones,BearingCentreDistance,LongJournalLength,LongJournals,HighTempCon,RaSTR,RaStrip,RollTypeID,RollDiameterID,BearingTypeID,BearingHouseID,BearingDiameterID,SealingTypeID,ShaftMaterialID,SignalTransUnitID,RollSurfaceID,RollRepairID,StripCooling,GearBox,Cooling_NumberOfZones,Cooling_MaxWorkrollDiameter,Cooling_MaxStripThickness,Cooling_MaxRPMOnWorkroll,Cooling_TotalCoolingAmount,Cooling_PressureRegulator,DriveSystemTypeID,DriveSystemID,Voltage,Power
3,1.0,1.0,2.0,4.0,1.0,4.0,2.0,1,,3.0,0.0,False,False,False,False,True,False,False,1240.0,1240.0,81.19999694824219,10.100000381469727,63.0,28.0,100.0,20.0,108.0,14.0,0.0,1610.0,600.0,3.0,0.18000000715255737,946.0,128.0,False,2.0,32.0,32.0,0.0,,,False,False,,,1.0,3.0,,3.0,3.0,1.0,1.0,4.0,1.0,,,Yes,,,,,,,,1.0,0.0,0.0
4,1.0,1.0,2.0,1.0,1.0,7.0,2.0,1,,0.0,0.0,False,False,False,False,False,False,False,660.0,660.0,120.0,3.0,28.0,6.0,80.0,10.0,80.0,6.0,0.0,1700.0,730.0,2.0,0.14000000059604645,740.0,12.0,False,2.0,54.0,14.0,40.0,,,False,False,,,2.0,3.0,2.0,2.0,3.0,3.0,1.0,7.0,1.0,,,No,,,,,,,,,,
6,1.0,1.0,8.0,1.0,2.0,1.0,1.0,3,,10.0,,False,False,False,False,False,False,False,,250.0,540.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,1750.0,760.0,8.0,0.46000000834465027,0.0,0.0,False,9.0,34.0,34.0,0.0,,,False,False,,,1.0,3.0,7.0,1.0,2.0,,1.0,,1.0,,,No,,,,,,,,1.0,0.0,0.0
7,1.0,1.0,2.0,5.0,1.0,2.0,2.0,3,,0.0,0.0,False,False,False,False,False,False,False,1400.0,1400.0,50.0,5.0,12.0,12.0,80.0,10.0,45.0,15.0,0.0,1320.0,600.0,3.700000047683716,0.15000000596046448,410.0,136.0,False,2.0,27.0,27.0,0.0,,,False,False,,,1.0,3.0,,3.0,3.0,,1.0,1.0,1.0,,,No,,,,,,,,1.0,0.0,0.0
8,1.0,1.0,2.0,7.0,1.0,2.0,1.0,3,,0.0,0.0,False,False,False,False,False,False,False,1500.0,1500.0,122.0,9.800000190734863,12.199999809265137,12.199999809265137,0.0,0.0,100.0,2.0,0.0,1880.0,550.0,3.299999952316284,0.30000001192092896,1092.0,15.0,False,2.0,38.0,38.0,0.0,2878.0,568.0,True,False,,,1.0,3.0,,3.0,3.0,,1.0,1.0,1.0,,,No,,,,,,,,1.0,0.0,0.0
9,1.0,1.0,2.0,7.0,1.0,2.0,1.0,3,,0.0,0.0,False,False,False,False,False,False,False,1100.0,1100.0,90.0,10.0,11.0,5.0,154.0,0.0,0.0,0.0,0.0,1320.0,610.0,3.200000047683716,0.20000000298023224,0.0,0.0,False,2.0,27.0,27.0,0.0,,,False,False,,,1.0,3.0,,,,,,,1.0,,,No,,,,,,,,,,
12,1.0,1.0,2.0,7.0,1.0,2.0,1.0,3,,0.0,0.0,False,False,False,False,False,False,False,720.0,720.0,118.0,4.900000095367432,8.100000381469727,8.100000381469727,80.0,10.0,140.0,10.0,0.0,1600.0,700.0,3.0,0.5,900.0,41.0,False,2.0,32.0,32.0,0.0,,,False,False,,,1.0,3.0,,3.0,3.0,,1.0,6.0,1.0,,,No,,,,,,,,1.0,0.0,0.0
15,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3,,0.0,0.0,False,False,False,False,False,False,False,1150.0,1150.0,120.0,12.0,37.5,13.5,35.0,20.0,80.0,12.0,0.0,1650.0,770.0,5.0,0.25,874.0,131.0,False,2.0,33.0,33.0,0.0,,,False,False,,,1.0,3.0,,1.0,3.0,,1.0,1.0,1.0,,,No,,,,,,,,1.0,0.0,0.0
19,1.0,1.0,2.0,5.0,0.0,2.0,2.0,0,,0.0,0.0,False,False,False,False,False,False,False,1872.0,1840.0,58.86000061035156,6.867000102996826,46.0,18.0,0.0,0.0,100.0,3.0,0.0,1067.0,610.0,0.5080000162124634,0.12700000405311584,916.0,26.0,False,2.0,22.0,22.0,0.0,,,False,False,,,1.0,3.0,,3.0,3.0,1.0,1.0,1.0,1.0,,,No,,,,,,,,,,
20,1.0,1.0,2.0,4.0,3.0,2.0,2.0,3,,0.0,0.0,False,True,False,False,False,False,False,1200.0,1200.0,120.0,12.0,20.0,20.0,60.0,30.0,200.0,40.0,0.0,1525.0,600.0,3.5,0.25,2184.0,436.0,False,2.0,31.0,31.0,0.0,,,False,False,,,1.0,3.0,2.0,3.0,3.0,1.0,1.0,7.0,1.0,,,No,,,,,,,,1.0,0.0,0.0
